PeakID (cmd=annotatePeaks.pl /sonas-hs/ware/hpc_norepl/data/foli/maizeCode/RA1_q40_F6L2LP_common.bed zm_v4 -ann /sonas-hs/ware/hpc/home/foli/software/homer/data/genomes/zm_v4/zm_v4.basic.annotation)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
9-3424	9	158747041	158747238	+	9.37	NA	NA	NA	3661	transcript:Zm00001d048561_T001								
2-4894	2	208765473	208765670	+	9.37	NA	NA	NA	6584	transcript:Zm00001d006456_T005								
5-4321	5	160919430	160919627	+	9.37	NA	"intron (transcript:Zm00001d016396_T001, intron 9 of 13)"	NA	3240	transcript:Zm00001d016396_T001								
2-3292	2	79263428	79263625	+	9.37	NA	NA	NA	-213779	transcript:Zm00001d004049_T001								
10-1899-2	10	54903884	54904081	+	9.37	NA	"intron (transcript:Zm00001d024192_T001, intron 4 of 8)"	NA	6496	transcript:Zm00001d024192_T002								
7-3247	7	67568570	67568767	+	9.37	NA	NA	NA	-176414	transcript:Zm00001d019835_T001								
4-3520	4	222944415	222944612	+	9.37	NA	"intron (transcript:Zm00001d053260_T001, intron 10 of 13)"	NA	-1938	transcript:Zm00001d053261_T001								
8-2275	8	68959858	68960055	+	9.37	NA	promoter-TSS (transcript:Zm00001d009525_T001)	NA	-438	transcript:Zm00001d009525_T001								
4-3813	4	125854106	125854303	+	9.37	NA	"intron (transcript:Zm00001d050838_T001, intron 5 of 5)"	NA	4725	transcript:Zm00001d050838_T002								
4-4622	4	195353374	195353571	+	9.37	NA	NA	NA	26372	transcript:Zm00001d026969_T001								
6-3422	6	139203332	139203529	+	9.37	NA	promoter-TSS (transcript:Zm00001d037835_T001)	NA	-789	transcript:Zm00001d037835_T001								
7-3639	7	176452880	176453077	+	9.37	NA	promoter-TSS (transcript:Zm00001d022379_T001)	NA	-132	transcript:Zm00001d022379_T001								
1-5186	1	216391439	216391636	+	9.37	NA	promoter-TSS (transcript:Zm00001d032192_T002)	NA	-332	transcript:Zm00001d032192_T002								
3-4717	3	208653722	208653919	+	9.37	NA	"3' UTR (transcript:Zm00001d043733_T003, exon 10 of 11)"	NA	2812	transcript:Zm00001d043733_T002								
9-2759	9	121094281	121094478	+	9.37	NA	"exon (transcript:Zm00001d047181_T003, exon 7 of 15)"	NA	2004	transcript:Zm00001d047181_T010								
5-4160	5	100278986	100279183	+	9.37	NA	NA	NA	38197	transcript:Zm00001d015599_T001								
2-4266	2	10728826	10729023	+	9.37	NA	promoter-TSS (transcript:Zm00001d002352_T001)	NA	-912	transcript:Zm00001d002352_T001								
9-3109	9	79387157	79387354	+	9.37	NA	promoter-TSS (transcript:Zm00001d046302_T001)	NA	-119	transcript:Zm00001d046302_T001								
1-5928	1	170386460	170386657	+	9.37	NA	NA	NA	52135	transcript:Zm00001d030975_T001								
10-2133	10	10839132	10839329	+	9.37	NA	"intron (transcript:Zm00001d023583_T003, intron 1 of 16)"	NA	991	transcript:Zm00001d023583_T004								
10-2875	10	144641265	144641462	+	9.37	NA	NA	NA	4262	transcript:Zm00001d026377_T001								
8-2808	8	136500721	136500918	+	9.37	NA	TTS (transcript:Zm00001d011004_T001)	NA	2127	transcript:Zm00001d011004_T001								
8-2875	8	164597224	164597421	+	9.37	NA	"intron (transcript:Zm00001d011920_T001, intron 1 of 3)"	NA	1671	transcript:Zm00001d011920_T004								
7-2568	7	146580897	146581094	+	9.37	NA	NA	NA	-11756	transcript:Zm00001d021229_T001								
4-3934	4	190898030	190898227	+	9.37	NA	NA	NA	-1849	transcript:Zm00001d052480_T001								
7-2468	7	100911766	100911963	+	9.37	NA	"5' UTR (transcript:Zm00001d020225_T002, exon 1 of 20)"	NA	121	transcript:Zm00001d020225_T002								
8-3499	8	180361746	180361943	+	9.37	NA	NA	NA	-2050	transcript:Zm00001d012766_T001								
2-4765	2	171327815	171328012	+	9.37	NA	NA	NA	4771	transcript:Zm00001d005374_T001								
8-2296	8	77291094	77291291	+	9.37	NA	NA	NA	-71084	transcript:Zm00001d009712_T001								
6-2856	6	136139187	136139384	+	9.37	NA	NA	NA	16504	transcript:Zm00001d037743_T001								
7-3263	7	72104263	72104460	+	9.37	NA	NA	NA	-128222	transcript:Zm00001d019875_T002								
1-3990	1	277647895	277648092	+	9.37	NA	TTS (transcript:Zm00001d033893_T001)	NA	780	transcript:Zm00001d033894_T001								
6-3440	6	144040822	144041019	+	9.37	NA	"exon (transcript:Zm00001d037978_T002, exon 2 of 7)"	NA	1653	transcript:Zm00001d037978_T002								
7-3276	7	78125930	78126127	+	9.37	NA	NA	NA	73849	transcript:Zm00001d001165_T001								
9-3310	9	136192730	136192927	+	9.37	NA	promoter-TSS (transcript:Zm00001d047580_T001)	NA	-576	transcript:Zm00001d047580_T001								
7-3618	7	173532475	173532672	+	9.37	NA	NA	NA	-4599	transcript:Zm00001d022245_T001								
5-4088	5	72792200	72792397	+	9.37	NA	"intron (transcript:Zm00001d015032_T003, intron 4 of 15)"	NA	2055	transcript:Zm00001d015032_T003								
2-4649	2	141637184	141637381	+	9.37	NA	NA	NA	31823	transcript:Zm00001d000935_T001								
8-3375	8	155862942	155863139	+	9.37	NA	"exon (transcript:Zm00001d011611_T004, exon 3 of 7)"	NA	-851	transcript:Zm00001d011611_T008								
10-1525	10	138488301	138488498	+	9.37	NA	promoter-TSS (transcript:Zm00001d026099_T002)	NA	-161	transcript:Zm00001d026099_T003								
2-3540	2	214993292	214993489	+	9.37	NA	"3' UTR (transcript:Zm00001d006710_T013, exon 3 of 3)"	NA	4026	transcript:Zm00001d006710_T016								
6-3077	6	29658578	29658775	+	9.37	NA	TTS (transcript:Zm00001d035503_T001)	NA	-62	transcript:Zm00001d035502_T001								
9-2673	9	74375753	74375950	+	9.37	NA	NA	NA	-137050	transcript:Zm00001d046236_T001								
7-2310	7	7683880	7684077	+	9.37	NA	"intron (transcript:Zm00001d018864_T002, intron 10 of 17)"	NA	3988	transcript:Zm00001d018864_T001								
4-3818	4	129889234	129889431	+	9.37	NA	TTS (transcript:Zm00001d050908_T001)	NA	583	transcript:Zm00001d050908_T001								
6-3589	6	172598330	172598527	+	9.37	NA	"exon (transcript:Zm00001d039211_T008, exon 3 of 11)"	NA	750	transcript:Zm00001d039211_T008								
9-2719	9	98867117	98867314	+	9.37	NA	NA	NA	-15658	transcript:Zm00001d046616_T002								
1-4605	1	266471098	266471295	+	9.37	NA	"intron (transcript:Zm00001d033541_T002, intron 3 of 4)"	NA	1807	transcript:Zm00001d033541_T002								
8-2565	8	16985527	16985724	+	9.37	NA	TTS (transcript:Zm00001d008680_T001)	NA	1138	transcript:Zm00001d008681_T001								
1-5323	1	266023775	266023972	+	9.37	NA	NA	NA	-3144	transcript:Zm00001d033532_T001								
8-2604	8	39524841	39525038	+	9.37	NA	promoter-TSS (transcript:Zm00001d009146_T010)	NA	-38	transcript:Zm00001d009146_T011								
1-5985	1	191588206	191588403	+	9.37	NA	"3' UTR (transcript:Zm00001d031485_T001, exon 6 of 6)"	NA	2253	transcript:Zm00001d031485_T001								
8-2162	8	8474124	8474321	+	9.37	NA	promoter-TSS (transcript:Zm00001d008429_T014)	NA	-7	transcript:Zm00001d008429_T006								
2-4435	2	60968384	60968581	+	9.37	NA	NA	NA	-39842	transcript:Zm00001d003823_T001								
6-2524	6	142495657	142495854	+	9.37	NA	NA	NA	-17051	transcript:Zm00001d037932_T002								
8-3054	8	45923847	45924044	+	9.37	NA	TTS (transcript:Zm00001d009240_T002)	NA	21272	transcript:Zm00001d009240_T003								
3-3821	3	185000052	185000249	+	9.37	NA	promoter-TSS (transcript:Zm00001d000667_T001)	NA	814	transcript:Zm00001d042962_T007								
5-3365	5	6641282	6641479	+	9.37	NA	NA	NA	-1050	transcript:Zm00001d001499_T001								
8-2554	8	13869602	13869799	+	9.37	NA	NA	NA	-24590	transcript:Zm00001d008594_T001								
4-4755	4	225431107	225431304	+	9.37	NA	NA	NA	-1212	transcript:Zm00001d053308_T011								
7-2668	7	180849701	180849898	+	9.37	NA	promoter-TSS (transcript:Zm00001d022601_T001)	NA	95	transcript:Zm00001d022601_T001								
3-2818	3	174271122	174271319	+	9.37	NA	NA	NA	-88592	transcript:Zm00001d042624_T001								
7-3101	7	12276696	12276893	+	9.37	NA	NA	NA	7754	transcript:Zm00001d018990_T001								
2-4017	2	180729313	180729510	+	9.37	NA	NA	NA	-1541	transcript:Zm00001d005614_T001								
5-4561	5	222114813	222115010	+	9.37	NA	"exon (transcript:Zm00001d018509_T001, exon 2 of 2)"	NA	1835	transcript:Zm00001d018509_T001								
9-2512	9	957433	957630	+	9.37	NA	NA	NA	16200	transcript:Zm00001d044742_T001								
8-2620	8	52644996	52645193	+	9.37	NA	NA	NA	64015	transcript:Zm00001d009292_T001								
1-6142	1	239379371	239379568	+	9.37	NA	NA	NA	-3852	transcript:Zm00001d032825_T001								
7-2546	7	137239444	137239641	+	9.37	NA	"intron (transcript:Zm00001d020938_T001, intron 2 of 8)"	NA	635	transcript:Zm00001d020938_T001								
3-4421	3	133422889	133423086	+	9.37	NA	NA	NA	-68033	transcript:Zm00001d041690_T001								
5-3137	5	131687077	131687274	+	9.37	NA	NA	NA	-24075	transcript:Zm00001d015925_T001								
10-2269	10	86139636	86139833	+	9.37	NA	NA	NA	-2321	transcript:Zm00001d024752_T001								
6-2276	6	23260740	23260937	+	9.37	NA	NA	NA	-7165	transcript:Zm00001d001311_T001								
5-3494	5	55477756	55477953	+	9.37	NA	NA	NA	-154161	transcript:Zm00001d014612_T001								
4-4117	4	4182914	4183111	+	9.37	NA	promoter-TSS (transcript:Zm00001d048720_T001)	NA	-765	transcript:Zm00001d048720_T001								
5-3809	5	217378000	217378197	+	9.37	NA	NA	NA	-5986	transcript:Zm00001d018247_T001								
1-4894	1	70297654	70297851	+	9.37	NA	"exon (transcript:Zm00001d029435_T001, exon 1 of 1)"	NA	1188	transcript:Zm00001d029435_T001								
5-2313	5	76173796	76173993	+	9.37	NA	NA	NA	-40472	transcript:Zm00001d015114_T001								
9-2956	9	24936228	24936425	+	9.37	NA	TTS (transcript:Zm00001d045505_T001)	NA	2358	transcript:Zm00001d045505_T007								
9-3111	9	79533083	79533280	+	9.37	NA	"intron (transcript:Zm00001d046304_T001, intron 2 of 5)"	NA	6643	transcript:Zm00001d046304_T001								
10-2106	10	146506074	146506271	+	9.37	NA	NA	NA	6299	transcript:Zm00001d026468_T001								
4-3701	4	57415276	57415473	+	9.37	NA	promoter-TSS (transcript:Zm00001d049987_T001)	NA	-799	transcript:Zm00001d049987_T001								
4-4103	4	2816396	2816593	+	9.37	NA	NA	NA	9120	transcript:Zm00001d048658_T003								
9-3258	9	121789936	121790133	+	9.37	NA	NA	NA	-60140	transcript:Zm00001d047203_T001								
3-3630	3	97248228	97248425	+	9.37	NA	NA	NA	-31966	transcript:Zm00001d041098_T001								
3-3476	3	13942778	13942975	+	9.37	NA	NA	NA	-23535	transcript:Zm00001d039754_T001								
6-2695	6	60178697	60178894	+	9.37	NA	NA	NA	-33758	transcript:Zm00001d001355_T001								
10-2431	10	76942	77139	+	9.37	NA	NA	NA	-54282	transcript:Zm00001d023208_T002								
8-2580	8	24524857	24525054	+	9.37	NA	TTS (transcript:Zm00001d008900_T001)	NA	1236	transcript:Zm00001d008900_T001								
4-4043	4	232071698	232071895	+	9.37	NA	"intron (transcript:Zm00001d053450_T037, intron 3 of 7)"	NA	144	transcript:Zm00001d053450_T088								
2-3873	2	122432097	122432294	+	9.37	NA	NA	NA	-10140	transcript:Zm00001d004620_T001								
5-4026	5	47689665	47689862	+	9.37	NA	NA	NA	67074	transcript:Zm00001d014449_T003								
5-3883	5	10718842	10719039	+	9.37	NA	TTS (transcript:Zm00001d013415_T003)	NA	4392	transcript:Zm00001d013415_T003								
8-3403	8	162948885	162949082	+	9.37	NA	"exon (transcript:Zm00001d011855_T002, exon 2 of 17)"	NA	909	transcript:Zm00001d011855_T007								
2-4050	2	194598964	194599161	+	9.37	NA	NA	NA	-1963	transcript:Zm00001d005981_T001								
5-3191	5	167768701	167768898	+	9.37	NA	"intron (transcript:Zm00001d016566_T001, intron 1 of 1)"	NA	907	transcript:Zm00001d016566_T002								
6-3587	6	171943920	171944117	+	9.37	NA	NA	NA	-48689	transcript:Zm00001d039180_T001								
8-3219	8	111147512	111147709	+	9.37	NA	NA	NA	108563	transcript:Zm00001d010360_T001								
7-3294	7	85925451	85925648	+	9.37	NA	NA	NA	54830	transcript:Zm00001d020017_T001								
4-3533	4	229246042	229246239	+	9.37	NA	NA	NA	-26848	transcript:Zm00001d053396_T001								
4-3424	4	188392417	188392614	+	9.37	NA	"3' UTR (transcript:Zm00001d052371_T001, exon 1 of 1)"	NA	708	transcript:Zm00001d052371_T001								
8-3006	8	26901576	26901773	+	9.37	NA	promoter-TSS (transcript:Zm00001d008954_T005)	NA	-330	transcript:Zm00001d008954_T008								
1-4943	1	92312881	92313078	+	9.37	NA	NA	NA	-14842	transcript:Zm00001d029888_T002								
9-2687	9	80981784	80981981	+	9.37	NA	NA	NA	-185966	transcript:Zm00001d046332_T001								
10-2259	10	82263230	82263427	+	9.37	NA	NA	NA	8517	transcript:Zm00001d024656_T001								
6-2881	6	146859711	146859908	+	9.37	NA	NA	NA	8306	transcript:Zm00001d038069_T001								
2-4406	2	47843473	47843670	+	9.37	NA	"intron (transcript:Zm00001d003551_T001, intron 1 of 1)"	NA	306	transcript:Zm00001d003551_T001								
8-2938	8	4963244	4963441	+	9.37	NA	"5' UTR (transcript:Zm00001d008314_T001, exon 5 of 10)"	NA	-1428	transcript:Zm00001d008315_T001								
9-3280	9	129083394	129083591	+	9.37	NA	NA	NA	3096	transcript:Zm00001d047406_T001								
1-3780	1	157120675	157120872	+	9.37	NA	"intron (transcript:Zm00001d030739_T009, intron 4 of 6)"	NA	3263	transcript:Zm00001d030739_T001								
2-2778	2	43543391	43543588	+	9.37	NA	promoter-TSS (transcript:Zm00001d003408_T001)	NA	-188	transcript:Zm00001d003408_T001								
3-4743	3	215287854	215288051	+	9.37	NA	NA	NA	13479	transcript:Zm00001d043968_T001								
8-2133-2	8	177570786	177570983	+	9.37	NA	NA	NA	-10395	transcript:Zm00001d012639_T001								
4-3902	4	175085746	175085943	+	9.37	NA	"intron (transcript:Zm00001d051948_T001, intron 1 of 1)"	NA	3081	transcript:Zm00001d051948_T001								
4-3856	4	154081709	154081906	+	9.37	NA	promoter-TSS (transcript:Zm00001d051321_T002)	NA	-322	transcript:Zm00001d051321_T002								
1-5485	1	12181212	12181409	+	9.37	NA	"intron (transcript:Zm00001d027723_T002, intron 3 of 9)"	NA	-678	transcript:Zm00001d027723_T001								
7-3496	7	150578310	150578507	+	9.37	NA	promoter-TSS (transcript:Zm00001d021383_T001)	NA	-66	transcript:Zm00001d021383_T001								
3-3609	3	82970646	82970843	+	9.37	NA	NA	NA	-100681	transcript:Zm00001d040958_T001								
1-5859	1	143506192	143506389	+	9.37	NA	"intron (transcript:Zm00001d030554_T006, intron 4 of 6)"	NA	4524	transcript:Zm00001d030554_T012								
6-2446	6	108111759	108111956	+	9.37	NA	"intron (transcript:Zm00001d036978_T001, intron 2 of 2)"	NA	2060	transcript:Zm00001d036978_T001								
8-2661	8	70790934	70791131	+	9.37	NA	NA	NA	-58368	transcript:Zm00001d009568_T001								
6-3324	6	111703427	111703624	+	9.37	NA	"intron (transcript:Zm00001d037084_T003, intron 8 of 19)"	NA	3925	transcript:Zm00001d037084_T007								
5-3985	5	37681761	37681958	+	9.37	NA	promoter-TSS (transcript:Zm00001d014239_T001)	NA	-529	transcript:Zm00001d014239_T001								
6-3304	6	107445012	107445209	+	9.37	NA	"3' UTR (transcript:Zm00001d036961_T003, exon 14 of 14)"	NA	-608	transcript:Zm00001d036962_T001								
3-4374	3	118595344	118595541	+	9.37	NA	promoter-TSS (transcript:Zm00001d041422_T001)	NA	-580	transcript:Zm00001d041422_T001								
8-2679	8	82007282	82007479	+	9.37	NA	NA	NA	-20860	transcript:Zm00001d009799_T001								
4-2848	4	121766382	121766579	+	9.37	NA	promoter-TSS (transcript:Zm00001d050768_T003)	NA	-193	transcript:Zm00001d050768_T002								
4-3834	4	139215081	139215278	+	9.37	NA	NA	NA	3842	transcript:Zm00001d051054_T001								
8-3333	8	146858359	146858556	+	9.37	NA	"intron (transcript:Zm00001d011328_T001, intron 2 of 5)"	NA	1384	transcript:Zm00001d011328_T001								
8-2926	8	421212	421409	+	9.37	NA	NA	NA	21263	transcript:Zm00001d008177_T001								
1-4622	1	275267304	275267501	+	9.37	NA	NA	NA	4659	transcript:Zm00001d033834_T001								
6-2815	6	118460662	118460859	+	9.37	NA	NA	NA	-18427	transcript:Zm00001d037261_T001								
5-3269	5	200293938	200294135	+	9.37	NA	"intron (transcript:Zm00001d017577_T002, intron 5 of 7)"	NA	1078	transcript:Zm00001d017577_T001								
10-2904	10	149859779	149859976	+	9.37	NA	TTS (transcript:Zm00001d026684_T001)	NA	1878	transcript:Zm00001d026685_T002								
7-2733	7	31538773	31538970	+	9.37	NA	NA	NA	-6460	transcript:Zm00001d019393_T002								
3-4767	3	220939578	220939775	+	9.37	NA	NA	NA	26398	transcript:Zm00001d044168_T001								
1-5510	1	16414732	16414929	+	9.37	NA	"exon (transcript:Zm00001d027879_T001, exon 4 of 7)"	NA	988	transcript:Zm00001d027879_T002								
10-1874	10	43305831	43306028	+	9.37	NA	NA	NA	83463	transcript:Zm00001d024088_T001								
9-2775	9	127845525	127845722	+	9.37	NA	"intron (transcript:Zm00001d047366_T002, intron 2 of 3)"	NA	1280	transcript:Zm00001d047366_T001								
1-5192	1	218731238	218731435	+	9.37	NA	NA	NA	64558	transcript:Zm00001d032249_T002								
10-2275	10	88861752	88861949	+	9.37	NA	NA	NA	-7709	transcript:Zm00001d024809_T001								
5-2910	5	3770478	3770675	+	9.37	NA	"intron (transcript:Zm00001d013048_T009, intron 1 of 12)"	NA	424	transcript:Zm00001d013048_T004								
7-2741	7	35579552	35579749	+	9.37	NA	NA	NA	-68038	transcript:Zm00001d019474_T001								
3-4577	3	175244982	175245179	+	9.37	NA	"intron (transcript:Zm00001d042645_T001, intron 6 of 13)"	NA	5704	transcript:Zm00001d042645_T001								
1-6037	1	212362176	212362373	+	9.37	NA	NA	NA	4591	transcript:Zm00001d032095_T001								
10-2651	10	73643788	73643985	+	9.37	NA	NA	NA	-31355	transcript:Zm00001d024484_T001								
4-4232	4	43698762	43698959	+	9.37	NA	"intron (transcript:Zm00001d049764_T001, intron 1 of 13)"	NA	1269	transcript:Zm00001d049764_T001								
8-2344	8	104659087	104659284	+	9.37	NA	"intron (transcript:Zm00001d010222_T001, intron 2 of 4)"	NA	-2589	transcript:Zm00001d010224_T001								
1-4233	1	74317369	74317566	+	9.37	NA	NA	NA	45004	transcript:Zm00001d029520_T002								
1-5978	1	186801495	186801692	+	9.37	NA	NA	NA	-15309	transcript:Zm00001d031342_T001								
8-2149	8	2561935	2562132	+	9.37	NA	promoter-TSS (transcript:Zm00001d008248_T001)	NA	-386	transcript:Zm00001d008248_T001								
7-2161	7	118510952	118511149	+	9.37	NA	"intron (transcript:Zm00001d020485_T001, intron 3 of 4)"	NA	2100	transcript:Zm00001d020485_T002								
5-4433	5	192699836	192700033	+	9.37	NA	"intron (transcript:Zm00001d017323_T001, intron 1 of 5)"	NA	1993	transcript:Zm00001d017323_T001								
10-2145	10	18608314	18608511	+	9.37	NA	NA	NA	9742	transcript:Zm00001d023749_T008								
2-4498	2	81499446	81499643	+	9.37	NA	"intron (transcript:Zm00001d004088_T002, intron 1 of 2)"	NA	401	transcript:Zm00001d004088_T003								
7-3631	7	175624802	175624999	+	9.37	NA	"intron (transcript:Zm00001d022333_T001, intron 3 of 3)"	NA	-1797	transcript:Zm00001d022334_T001								
9-3277	9	127081220	127081417	+	9.37	NA	NA	NA	8050	transcript:Zm00001d047347_T037								
4-3644	4	31210059	31210256	+	9.37	NA	NA	NA	35577	transcript:Zm00001d049462_T001								
10-2338	10	114458931	114459128	+	9.37	NA	NA	NA	-2623	transcript:Zm00001d025333_T001								
1-4534	1	234988980	234989177	+	9.37	NA	NA	NA	5820	transcript:Zm00001d032696_T001								
1-4347	1	147464609	147464806	+	9.37	NA	NA	NA	-50266	transcript:Zm00001d030598_T003								
2-3683	2	15318411	15318608	+	9.37	NA	"3' UTR (transcript:Zm00001d002558_T001, exon 2 of 2)"	NA	706	transcript:Zm00001d002558_T001								
3-4686	3	199100145	199100342	+	9.37	NA	"exon (transcript:Zm00001d043418_T052, exon 7 of 16)"	NA	423	transcript:Zm00001d043418_T138								
8-2307	8	82594854	82595051	+	9.37	NA	NA	NA	-69629	transcript:Zm00001d009813_T001								
6-3341	6	115080499	115080696	+	9.37	NA	NA	NA	-3201	transcript:Zm00001d037188_T001								
8-3184	8	98647485	98647682	+	9.37	NA	NA	NA	-30537	transcript:Zm00001d010079_T001								
7-2770	7	50690110	50690307	+	9.37	NA	NA	NA	-4066	transcript:Zm00001d019682_T001								
8-2913	8	177275745	177275942	+	9.37	NA	NA	NA	-1533	transcript:Zm00001d012615_T001								
5-3506	5	58737235	58737432	+	9.37	NA	NA	NA	3870	transcript:Zm00001d014681_T001								
6-2826	6	124344242	124344439	+	9.37	NA	"exon (transcript:Zm00001d037396_T001, exon 3 of 10)"	NA	951	transcript:Zm00001d037396_T002								
8-3147	8	84263820	84264017	+	9.37	NA	NA	NA	-5785	transcript:Zm00001d009836_T001								
7-2857	7	109423892	109424089	+	9.37	NA	NA	NA	-29795	transcript:Zm00001d020363_T002								
1-5046	1	157312770	157312967	+	9.37	NA	"exon (transcript:Zm00001d030741_T001, exon 10 of 13)"	NA	2801	transcript:Zm00001d030741_T001								
4-3200	4	60888326	60888523	+	9.37	NA	NA	NA	-1879	transcript:Zm00001d050024_T001								
2-4153	2	231635621	231635818	+	9.37	NA	promoter-TSS (transcript:Zm00001d007435_T001)	NA	-32	transcript:Zm00001d007435_T002								
6-2805	6	115243520	115243717	+	9.37	NA	NA	NA	-16875	transcript:Zm00001d037194_T001								
3-4549	3	167366988	167367185	+	9.37	NA	NA	NA	-140300	transcript:Zm00001d042438_T001								
5-3734	5	188955744	188955941	+	9.37	NA	NA	NA	22766	transcript:Zm00001d017207_T002								
3-3567	3	52823710	52823907	+	9.37	NA	NA	NA	-13095	transcript:Zm00001d040604_T001								
2-4686	2	151620472	151620669	+	9.37	NA	"intron (transcript:Zm00001d004976_T001, intron 2 of 6)"	NA	696	transcript:Zm00001d004976_T001								
9-2255-2	9	43306641	43306838	+	9.37	NA	"intron (transcript:Zm00001d045843_T001, intron 1 of 1)"	NA	880	transcript:Zm00001d045843_T001								
8-3321	8	141586053	141586250	+	9.37	NA	"intron (transcript:Zm00001d011167_T001, intron 3 of 3)"	NA	-2125	transcript:Zm00001d011168_T005								
2-3321	2	94673925	94674122	+	9.37	NA	NA	NA	-76185	transcript:Zm00001d004238_T001								
4-3789	4	112965101	112965298	+	9.37	NA	NA	NA	38793	transcript:Zm00001d050664_T001								
9-2516	9	1857393	1857590	+	9.37	NA	TTS (transcript:Zm00001d044766_T001)	NA	7634	transcript:Zm00001d044766_T005								
2-2847	2	89791949	89792146	+	9.37	NA	NA	NA	-28129	transcript:Zm00001d000858_T001								
4-3759	4	95864404	95864601	+	9.37	NA	NA	NA	67046	transcript:Zm00001d026862_T001								
4-4121	4	4531364	4531561	+	9.37	NA	NA	NA	52498	transcript:Zm00001d048734_T018								
8-3451	8	172506630	172506827	+	9.37	NA	"intron (transcript:Zm00001d012327_T001, intron 6 of 9)"	NA	6631	transcript:Zm00001d012327_T001								
2-4807	2	185981666	185981863	+	9.37	NA	NA	NA	35283	transcript:Zm00001d005748_T001								
9-3136	9	88908512	88908709	+	9.37	NA	NA	NA	32511	transcript:Zm00001d046422_T001								
1-5358	1	279325019	279325216	+	9.37	NA	NA	NA	-11202	transcript:Zm00001d033943_T001								
1-4312	1	119538261	119538458	+	9.37	NA	NA	NA	-44524	transcript:Zm00001d030285_T003								
7-2572	7	147859315	147859512	+	9.37	NA	NA	NA	-4550	transcript:Zm00001d021285_T001								
5-4048	5	54671159	54671356	+	9.37	NA	NA	NA	-3632	transcript:Zm00001d014596_T001								
8-2703	8	91087282	91087479	+	9.37	NA	"intron (transcript:Zm00001d009941_T002, intron 5 of 11)"	NA	6063	transcript:Zm00001d009941_T001								
3-4755	3	216241824	216242021	+	9.37	NA	NA	NA	7225	transcript:Zm00001d044005_T001								
4-2806	4	92540793	92540990	+	9.37	NA	NA	NA	-18240	transcript:Zm00001d026858_T001								
6-2999	6	892833	893030	+	9.37	NA	NA	NA	52010	transcript:Zm00001d034986_T001								
5-4459	5	199564200	199564397	+	9.37	NA	NA	NA	-25875	transcript:Zm00001d017559_T002								
4-4158	4	17363639	17363836	+	9.37	NA	"exon (transcript:Zm00001d049137_T001, exon 1 of 1)"	NA	303	transcript:Zm00001d049137_T001								
4-4107	4	3204066	3204263	+	9.37	NA	promoter-TSS (transcript:Zm00001d048680_T004)	NA	-83	transcript:Zm00001d048680_T007								
1-4207-2	1	61045144	61045341	+	9.37	NA	"intron (transcript:Zm00001d029177_T002, intron 10 of 10)"	NA	3669	transcript:Zm00001d029177_T003								
4-4472	4	143508230	143508427	+	9.37	NA	NA	NA	-38201	transcript:Zm00001d051112_T001								
7-2434	7	81041094	81041291	+	9.37	NA	promoter-TSS (transcript:Zm00001d019967_T001)	NA	-132	transcript:Zm00001d019967_T001								
9-3184	9	102350829	102351026	+	9.37	NA	TTS (transcript:Zm00001d046685_T001)	NA	7	transcript:Zm00001d046685_T001								
2-4173	2	237934855	237935052	+	9.37	NA	"intron (transcript:Zm00001d007710_T001, intron 1 of 1)"	NA	2490	transcript:Zm00001d007710_T001								
4-4480	4	147068646	147068843	+	9.37	NA	NA	NA	-43717	transcript:Zm00001d051172_T001								
6-3009	6	6053799	6053996	+	9.37	NA	NA	NA	-63944	transcript:Zm00001d035118_T001								
9-1875-2	9	16631	16828	+	9.37	NA	NA	NA	50302	transcript:Zm00001d044717_T001								
3-3834	3	188423754	188423951	+	9.37	NA	NA	NA	-11425	transcript:Zm00001d043075_T001								
1-5438	1	1835433	1835630	+	9.37	NA	TTS (transcript:Zm00001d027287_T001)	NA	1299	transcript:Zm00001d027286_T001								
8-3209	8	107526315	107526512	+	9.37	NA	NA	NA	-5981	transcript:Zm00001d010285_T001								
9-3084	9	71819039	71819236	+	9.37	NA	NA	NA	43596	transcript:Zm00001d046205_T001								
5-3564	5	94476783	94476980	+	9.37	NA	NA	NA	-51745	transcript:Zm00001d015508_T001								
8-3231	8	113896493	113896690	+	9.37	NA	NA	NA	8586	transcript:Zm00001d010416_T002								
5-4475	5	206146645	206146842	+	9.37	NA	NA	NA	8675	transcript:Zm00001d017762_T001								
6-3467	6	148868610	148868807	+	9.37	NA	NA	NA	9510	transcript:Zm00001d038130_T015								
9-3027	9	49710044	49710241	+	9.37	NA	NA	NA	-25467	transcript:Zm00001d045956_T002								
2-4606	2	122230397	122230594	+	9.37	NA	NA	NA	136696	transcript:Zm00001d004617_T001								
3-3891	3	208953675	208953872	+	9.37	NA	NA	NA	-1282	transcript:Zm00001d043745_T001								
9-3321	9	138556532	138556729	+	9.37	NA	NA	NA	-15921	transcript:Zm00001d047664_T001								
3-3973	3	234680990	234681187	+	9.37	NA	NA	NA	5994	transcript:Zm00001d044680_T001								
9-2543	9	14567478	14567675	+	9.37	NA	"exon (transcript:Zm00001d045157_T001, exon 1 of 1)"	NA	14	transcript:Zm00001d045157_T001								
